"dataset","window","paa","alphabet","approximation","rules","gr_size","frequency","cover","coverage","pruned_rules","pruned_gr_size","pruned_frequency","pruned_cover","pruned_coverage","reduction"
"300_signal1",330,20,2,0.708813588887857,1414,282380,78,0.9999,87.3385,8,246748,78,0.9999,2.19543333333333,0.00565770862800566
"318_signal1",280,22,3,0.523349012010575,1551,327500,59,0.9999,61.5458666666667,14,280266,58,0.9999,2.29753333333333,0.00902643455834945
"ann_gun_CentroidA1",200,6,12,0.420291817681085,621,40780,45,0.955648386810061,50.536130121767,12,34410,45,0.955648386810061,2.59452493111723,0.0193236714975845
"chfdbchf15",220,22,2,0.662825293801629,825,161048,59,0.9988,52.709,10,137104,59,0.9988,2.4572,0.0121212121212121
"dutch_power_demand",460,30,2,0.548023691554479,1397,411850,46,0.999914383561644,117.658361872146,9,366712,46,0.999914383561644,2.15636415525114,0.00644237652111668
"ecg0606",180,22,3,0.538325712223606,152,36138,14,0.99608525445846,40.6215745976512,4,31246,14,0.99608525445846,1.42583732057416,0.0263157894736842
"gps_track",330,30,2,0.465580146999314,393,94076,23,0.999650655021834,33.8604949053857,11,79502,23,0.999650655021834,2.13024745269287,0.0279898218829517
"insect",160,4,9,0.655215468594146,696,26108,27,0.999250013392618,23.3383511008732,36,20828,26,0.999250013392618,2.04301708898055,0.0517241379310345
"mitdbx_108",220,4,12,0.57049995707301,711,28508,38,0.998935185185185,37.2093518518518,25,23020,35,0.998935185185185,2.05847222222222,0.0351617440225035
"nprs43",30,30,2,0.398213747477336,831,437610,444,0.999833518312986,25.0829633740289,18,415168,444,0.999833518312986,1.93806881243063,0.0216606498194946
"nprs44",30,26,2,0.449863925826841,1158,449156,620,0.999751295336788,23.2555025906736,18,424262,620,0.999751295336788,2.83473575129534,0.0155440414507772
"stdb_308",440,30,3,0.511276001526356,246,66404,13,0.999444444444444,81.8731481481481,4,57188,13,0.999444444444444,1.40222222222222,0.016260162601626
"TEK14",360,24,8,0.375864496564808,267,73088,7,0.986,50.2108,7,64168,5,0.986,1.6012,0.0262172284644195
"TEK16",360,24,4,0.509213495763503,190,50564,17,0.962,41.8204,5,44624,12,0.962,1.909,0.0263157894736842
"TEK17",340,20,8,0.412778432809396,248,59676,25,0.9884,46.2592,6,52444,6,0.9884,1.449,0.0241935483870968
"winding_col",280,30,2,0.661691579521351,456,74312,3,0.9996,109.6232,5,55780,3,0.9996,1.1272,0.0109649122807018
